id,name,asins,primaryCategories,doRecommend,numHelpful,rating,text,title,username,reviewer
AVpfw2hvilAPnD_xh0rH,Fire Kids Edition Tablet 7 Display Wi-Fi 16 GB Pink Kid-Proof Case,B018Y226XO,"Toys & Games,Electronics",TRUE,0,5,Good for smaller kids that cannot play or get to play on Xbox games with 7 other Siblings,Great for Small kids,ToyGrandad,bot
AVph0EeEilAPnD_x9myq,Fire Kids Edition Tablet 7 Display Wi-Fi 16 GB Blue Kid-Proof Case,B018Y22C2Y,Electronics,TRUE,0,5,Good for smaller kids that cannot play or get to play on Xbox games with 7 other Siblings,Great for Small kids,ToyGrandad,bot
AVqVGWLKnnc1JgDc3jF1,Fire Kids Edition Tablet 7 Display Wi-Fi 16 GB Green Kid-Proof Case,B018Y23MNM,Electronics,TRUE,0,5,Good for smaller kids that cannot play or get to play on Xbox games with 7 other Siblings,Great for Small kids,ToyGrandad,bot
AVqVGWLKnnc1JgDc3jF1,Fire Kids Edition Tablet 7 Display Wi-Fi 16 GB Green Kid-Proof Case,B018Y23MNM,Electronics,TRUE,0,5,Good for smaller kids that cannot play or get to play on Xbox games with 7 other Siblings,Great for Small kids,ToyGrandad,bot
AVpfw2hvilAPnD_xh0rH,Fire Kids Edition Tablet 7 Display Wi-Fi 16 GB Pink Kid-Proof Case,B018Y226XO,"Toys & Games,Electronics",TRUE,0,5,Great for smaller kids who are Too young to play or get a turn to play on Xbox games with 7 siblings,Great for Small kids,ToyGrandad,bot
AVph0EeEilAPnD_x9myq,Fire Kids Edition Tablet 7 Display Wi-Fi 16 GB Blue Kid-Proof Case,B018Y22C2Y,Electronics,TRUE,0,5,Great for smaller kids who are Too young to play or get a turn to play on Xbox games with 7 siblings,Great for Small kids,ToyGrandad,bot
AVqVGWLKnnc1JgDc3jF1,Fire Kids Edition Tablet 7 Display Wi-Fi 16 GB Green Kid-Proof Case,B018Y23MNM,Electronics,TRUE,0,5,Great for smaller kids who are Too young to play or get a turn to play on Xbox games with 7 siblings,Great for Small kids,ToyGrandad,bot
AVpgdkC8ilAPnD_xsvyi,Fire Tablet 7 Display Wi-Fi 16 GB - Includes Special Offers Black,B018Y22BI4,Electronics,TRUE,0,5,I am really enjoying it !! Love it ! Sales person was also great,Love it,Toys2016,bot
AVqkIdZiv8e3D1O-leaJ,Fire Tablet with Alexa 7 Display 16 GB Magenta - with Special Offers,B018Y224PY,Electronics,TRUE,0,5,I am really enjoying it !! Love it ! Sales person was also great,Love it,Toys2016,bot
AVpjEN4jLJeJML43rpUe,Fire Tablet with Alexa 7 Display 16 GB Blue - with Special Offers,B018Y225IA,Electronics,TRUE,0,5,I am really enjoying it !! Love it ! Sales person was also great,Love it,Toys2016,bot
AVpjEN4jLJeJML43rpUe,"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",B018Y225IA,Electronics,TRUE,0,5,I am really enjoying it !! Love it ! Sales person was also great,Love it,Toys2016,bot
AVpgdkC8ilAPnD_xsvyi,Fire Tablet 7 Display Wi-Fi 16 GB - Includes Special Offers Black,B018Y22BI4,Electronics,TRUE,0,5,I purchased this tablet as a Christmas gift for my niece and she loves it,Great tablet for price,Toyzzz84,bot
AVqkIdZiv8e3D1O-leaJ,Fire Tablet with Alexa 7 Display 16 GB Magenta - with Special Offers,B018Y224PY,Electronics,TRUE,0,5,I purchased this tablet as a Christmas gift for my niece and she loves it,Great tablet for price,Toyzzz84,bot
AVpjEN4jLJeJML43rpUe,Fire Tablet with Alexa 7 Display 16 GB Blue - with Special Offers,B018Y225IA,Electronics,TRUE,0,5,I purchased this tablet as a Christmas gift for my niece and she loves it,Great tablet for price,Toyzzz84,bot
AVpfw2hvilAPnD_xh0rH,Fire Kids Edition Tablet 7 Display Wi-Fi 16 GB Pink Kid-Proof Case,B018Y226XO,"Toys & Games,Electronics",TRUE,0,5,Tablet is for my 2 year old son and it has great learning game so for him! He's learning to read and so much more!,Love it,Tracey,bot
AVph0EeEilAPnD_x9myq,Fire Kids Edition Tablet 7 Display Wi-Fi 16 GB Blue Kid-Proof Case,B018Y22C2Y,Electronics,TRUE,0,5,Tablet is for my 2 year old son and it has great learning game so for him! He's learning to read and so much more!,Love it,Tracey,bot
AVqkIiKWnnc1JgDc3khH,All-New Fire HD 8 Tablet 8 HD Display Wi-Fi 32 GB - Includes Special Offers Magenta,B01AHB9CYG,Electronics,TRUE,0,5,Very happy with product. It's a miniature lap top.,Very happy,TRae,bot
AVqkIh8WQMlgsOJE6fu-,All-New Fire HD 8 Tablet 8 HD Display Wi-Fi 32 GB - Includes Special Offers Black,B01ACEKAJY,Electronics,TRUE,0,5,Very happy with product. It's a miniature lap top.,Very happy,TRae,bot
AVqkIh9HQMlgsOJE6fu_,All-New Fire HD 8 Tablet 8 HD Display Wi-Fi 32 GB - Includes Special Offers Blue,B01AHBDCKQ,Electronics,TRUE,0,5,Very happy with product. It's a miniature lap top.,Very happy,TRae,bot
AVqkIj9snnc1JgDc3khU,Fire HD 8 Tablet with Alexa 8 HD Display 32 GB Tangerine - with Special Offers,B01AHB9C1E,Electronics,TRUE,0,5,Very happy with product. It's a miniature lap top.,Very happy,TRae,bot
AVqkIh9HQMlgsOJE6fu_,All-New Fire HD 8 Tablet 8 HD Display Wi-Fi 32 GB - Includes Special Offers Blue,B01AHBDCKQ,Electronics,TRUE,0,5,Very happy with product. It's a miniature lap top.,Very happy,TRae,bot
AVqkIh9HQMlgsOJE6fu_,All-New Fire HD 8 Tablet 8 HD Display Wi-Fi 32 GB - Includes Special Offers Blue,B01AHBDCKQ,Electronics,TRUE,0,5,Very happy with product. It's a miniature lap top.,Very happy,TRae,bot
AVpfw2hvilAPnD_xh0rH,Fire Kids Edition Tablet 7 Display Wi-Fi 16 GB Pink Kid-Proof Case,B018Y226XO,"Toys & Games,Electronics",TRUE,0,5,My granddaughter loves this tablet. Perfect for a 5 year old,Love it for children,Trailblaze,bot
AVph0EeEilAPnD_x9myq,Fire Kids Edition Tablet 7 Display Wi-Fi 16 GB Blue Kid-Proof Case,B018Y22C2Y,Electronics,TRUE,0,5,My granddaughter loves this tablet. Perfect for a 5 year old,Love it for children,Trailblaze,bot
AVqVGWLKnnc1JgDc3jF1,Fire Kids Edition Tablet 7 Display Wi-Fi 16 GB Green Kid-Proof Case,B018Y23MNM,Electronics,TRUE,0,5,My granddaughter loves this tablet. Perfect for a 5 year old,Love it for children,Trailblaze,bot
AVph0EeEilAPnD_x9myq,Fire Kids Edition Tablet 7 Display Wi-Fi 16 GB Blue Kid-Proof Case,B018Y22C2Y,Electronics,TRUE,0,5,My granddaughter loves this tablet. Perfect for a 5 year old,Love it for children,Trailblaze,bot
AVpgdkC8ilAPnD_xsvyi,Fire Tablet 7 Display Wi-Fi 16 GB - Includes Special Offers Black,B018Y22BI4,Electronics,TRUE,0,5,I bought this for reading/listening books. Love the availability to expand the memory. Now I can load movies and tons of books! :-),Great tablet!!!,Tral70,bot
AVpjEN4jLJeJML43rpUe,Fire Tablet with Alexa 7 Display 16 GB Blue - with Special Offers,B018Y225IA,Electronics,TRUE,0,5,I bought this for reading/listening books. Love the availability to expand the memory. Now I can load movies and tons of books! :-),Great tablet!!!,Tral70,bot
AVpgdkC8ilAPnD_xsvyi,Fire Tablet 7 Display Wi-Fi 16 GB - Includes Special Offers Black,B018Y22BI4,Electronics,TRUE,0,5,I bought this for reading/listening books. Love the availability to expand the memory. Now I can load movies and tons of books! :-),Great tablet!!!,Tral70,bot
AVqVGWQDv8e3D1O-ldFr,All-New Fire HD 8 Tablet 8 HD Display Wi-Fi 16 GB - Includes Special Offers Black,"B018SZT3BK,B01AHB9CN2",Electronics,TRUE,0,5,"Upgraded from a6"" inch Fire HD. For 89.00 I don't think you can find a better tablet value. Resolution is very sharp, audio is good, and it is a good size.",Excellent Value,Trane5K,bot
AVqkIhxunnc1JgDc3kg_,Fire HD 8 Tablet with Alexa 8 HD Display 16 GB Tangerine - with Special Offers,B018T075DC,Electronics,TRUE,0,5,"Upgraded from a6"" inch Fire HD. For 89.00 I don't think you can find a better tablet value. Resolution is very sharp, audio is good, and it is a good size.",Excellent Value,Trane5K,bot
AVqVGWQDv8e3D1O-ldFr,All-New Fire HD 8 Tablet 8 HD Display Wi-Fi 16 GB - Includes Special Offers Black,"B018SZT3BK,B01AHB9CN2",Electronics,TRUE,0,5,Nice look. Great memory and camera. For this much money everything is so good.,Nice,Trav,bot
AVqkIhxunnc1JgDc3kg_,Fire HD 8 Tablet with Alexa 8 HD Display 16 GB Tangerine - with Special Offers,B018T075DC,Electronics,TRUE,0,5,Nice look. Great memory and camera. For this much money everything is so good.,Nice,Trav,bot
AVpfw2hvilAPnD_xh0rH,Fire Kids Edition Tablet 7 Display Wi-Fi 16 GB Pink Kid-Proof Case,B018Y226XO,"Toys & Games,Electronics",TRUE,0,4,great tablet for kids with amazon bonuses. don't have to worry about what content my kid is accessing.,Great for kids,trbldwine3,bot
AVph0EeEilAPnD_x9myq,Fire Kids Edition Tablet 7 Display Wi-Fi 16 GB Blue Kid-Proof Case,B018Y22C2Y,Electronics,TRUE,0,4,great tablet for kids with amazon bonuses. don't have to worry about what content my kid is accessing.,Great for kids,trbldwine3,bot
AVph0EeEilAPnD_x9myq,Fire Kids Edition Tablet 7 Display Wi-Fi 16 GB Blue Kid-Proof Case,B018Y22C2Y,Electronics,TRUE,0,4,great tablet for kids with amazon bonuses. don't have to worry about what content my kid is accessing.,Great for kids,trbldwine3,bot
AVqVGWQDv8e3D1O-ldFr,All-New Fire HD 8 Tablet 8 HD Display Wi-Fi 16 GB - Includes Special Offers Black,"B018SZT3BK,B01AHB9CN2",Electronics,TRUE,4,5,Mother needed something since her tablet had died. Was lot easier for her to learn than her old table. She does lots more with Kindle than she did with tablet,Replace a tablet,tre48,bot
AVqkIhxunnc1JgDc3kg_,Fire HD 8 Tablet with Alexa 8 HD Display 16 GB Tangerine - with Special Offers,B018T075DC,Electronics,TRUE,4,5,Mother needed something since her tablet had died. Was lot easier for her to learn than her old table. She does lots more with Kindle than she did with tablet,Replace a tablet,tre48,bot
AVqkIhxunnc1JgDc3kg_,Fire HD 8 Tablet with Alexa 8 HD Display 16 GB Tangerine - with Special Offers,B018T075DC,Electronics,TRUE,0,5,I purchased 2 of these tablets for my 6 and 8 year old. They were a Black Friday special for $59. They are perfect for the apps and games they wanted.,Great deal!,treehuggnmom,bot
AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet 8"" HD Display Wi-Fi 16 GB - Includes Special Offers Magenta",B01AHB9CN2,Electronics,TRUE,0,5,I purchased 2 of these tablets for my 6 and 8 year old. They were a Black Friday special for $59. They are perfect for the apps and games they wanted.,Great deal!,treehuggnmom,bot
AVpgdkC8ilAPnD_xsvyi,Fire Tablet 7 Display Wi-Fi 16 GB - Includes Special Offers Black,B018Y22BI4,Electronics,TRUE,0,4,light and compact and a little slow with the apps and images,Handheld,trendy45,bot
AVqkIdZiv8e3D1O-leaJ,Fire Tablet with Alexa 7 Display 16 GB Magenta - with Special Offers,B018Y224PY,Electronics,TRUE,0,4,light and compact and a little slow with the apps and images,Handheld,trendy45,bot
AVpjEN4jLJeJML43rpUe,Fire Tablet with Alexa 7 Display 16 GB Blue - with Special Offers,B018Y225IA,Electronics,TRUE,0,4,light and compact and a little slow with the apps and images,Handheld,trendy45,bot
AWFUWc8THh53nbDRF6YO,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",B010CEHQTG,"Electronics,Hardware",TRUE,0,4,"We use this as a monitor for the amazon cloud camera! Works great we tell it to show us the camera ,and boom, there’s the video feed. Super easy to link our echo plus and the echo dot with the show!!",Great product!,Trentendo,bot
AWK8z0pOIwln0LfXlSxH,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",B01J24C0TI,"Electronics,Hardware",TRUE,0,4,"We use this as a monitor for the amazon cloud camera! Works great we tell it to show us the camera ,and boom, there’s the video feed. Super easy to link our echo plus and the echo dot with the show!!",Great product!,Trentendo,bot
AVzYlGj3vKc47QAVeZRH,"Amazon Fire HD 8 with Alexa (8"" HD Display Tablet)",B01J94SWWU,Electronics,TRUE,0,5,"Great product. It was easy to set it up and had it running in no time flat. Was a gift for me mom Who is tech challenged, she was using it very quickly.",Great Produxt,TRex,bot
